Year,PRETAX_MARGIN,EFF_TAX_RATE,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,OPER_INC_TO_TOT_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,AVG_COM_EQY_TO_AVG_ASSET,COM_EQY_TO_TOT_ASSET,TANGIBLE_EQUITY,REALIZED_EQUITY
2011,27.8927,24.158,3.1977,9.5291,8.2227,10.704,34.06,99.9056,99.9056,43.1282,43.0875,43.0875,33.5577,34.0922,-1167.2,1699.5
2012,26.5544,20.5655,3.1413,8.9962,8.6409,11.6806,31.6159,88.4244,88.4244,44.9682,39.7629,39.7629,34.9186,35.7547,-938.8,1816
2013,27.4273,16.9225,3.051,8.8097,8.8482,8.6116,34.0725,101.1467,101.1467,40.4738,40.938,40.938,34.6326,33.6862,-899.3,2005.1
2014,39.46,22.4731,5.7653,17.0918,12.9771,12.2891,32.0567,94.9114,94.9114,41.2789,39.1784,39.1784,33.7313,33.7754,-657.8,2060.2
2015,40.364,22.4864,6.4508,18.991,13.8385,14.3599,33.0004,96.7035,96.7035,42.4833,41.0829,41.0829,33.9676,34.1253,-788,2595.2
