Year,GROSS_MARGIN,SALES_GROWTH,NET_INC_GROWTH,OPER_MARGIN,PRETAX_MARGIN,EFF_TAX_RATE,PROF_MARGIN,,11/23/2016 14:24,0,Security :: ARNC UN Equity No Data Points Found ,,11/23/2016 14:24,0,Security :: ARNC UN Equity No Data Points Found 
2011,18.4629,#N/A N/A,#N/A N/A,7.0934,3.926,112.7389,-0.5251,,,,,,,,
2012,17.4852,4.5428,3.1746,4.3853,0.901,153.9823,-0.4864,,,,,,,,
2013,18.6579,-1.0285,-118.0328,5.2526,1.6676,163.7681,-1.0715,,,,,,,,
2014,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,
