Year,GROSS_MARGIN,SALES_GROWTH,NET_INC_GROWTH,OPER_MARGIN,PRETAX_MARGIN,EFF_TAX_RATE,PROF_MARGIN,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,TOT_DEBT_TO_EBITDA,COM_EQY_TO_TOT_ASSET,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,CFO_TO_TOT_DEBT,NET_DEBT,NET_DEBT_TO_SHRHLDR_EQTY,CASH_RATIO,QUICK_RATIO,CUR_RATIO,TOT_DEBT_TO_TOT_CAP,CASH_ST_INVESTMENTS_TO_CUR_ASSET,ACCT_RCV_DAYS,INVENT_DAYS,INV_TO_CASH_DAYS,OPER_INC_TO_CUR_LIAB,OPER_INC_TO_LT_DEBT,OPER_INC_TO_TOT_DEBT,WORKING_CAPITAL,BS_TOTAL_LINE_OF_CREDIT,BS_TOTAL_AVAIL_LINE_OF_CREDIT
2011,45.5362,#N/A N/A,#N/A N/A,11.7406,11.8773,40.0082,9.7968,#N/A N/A,#N/A N/A,#N/A N/A,0.4144,0.6541,0.5814,0.0325,63.3527,99.3501,0.6499,0.5776,31.641,11.7,0.6541,0,0.7392,2.0643,0.6499,0,#N/A N/A,#N/A N/A,#N/A N/A,0.5888,23.1442,20.5726,435.1,#N/A N/A,#N/A N/A
2012,45.2518,-1.26,-24.8754,11.9052,12.0289,35.4441,7.4538,#N/A N/A,#N/A N/A,#N/A N/A,0.3519,0.5391,0.4704,0.0279,65.2627,99.4638,0.5362,0.4679,25.0784,10.2,0.5391,0,0.7508,2.1462,0.5362,0,54.6655,134.8741,189.5396,0.5599,26.427,23.0588,481.5,#N/A N/A,#N/A N/A
2013,46.9215,1.7015,-10.6835,11.4386,11.4823,40.1525,6.5461,4.7044,7.314,7.2869,25.8618,73.2558,73.1363,3.2342,35.3034,57.7181,42.2819,42.2129,0.1477,644.3,51.3141,0.459,1.1268,2.3074,42.2819,19.8931,59.1283,129.3564,188.4847,0.2413,0.1577,0.1574,784.7,250,250
2014,46.4913,7.2123,-56.315,6.5684,5.7337,54.2722,2.6673,1.8217,3.7363,3.3215,30.4615,78.5639,78.1363,19.476,38.7728,56.0023,43.9977,43.7582,0.0959,3187.4,64.288,0.7823,1.309,2.2889,43.9977,34.1767,76.6988,126.374,203.0728,-0.0839,-0.0196,-0.0195,1166.2,250,250
2015,50.9222,-5.5568,#N/A N/A,-3.6455,-7.3919,#N/A N/A,-15.3362,-3.9073,-10.2775,-4.8167,39.6035,122.3189,121.899,5.7274,32.3773,44.9804,55.0196,54.8307,0.138,6130.7,115.4297,0.3937,0.9839,1.9863,55.0196,19.8202,55.7436,71.6885,127.4321,0.4969,0.0713,0.0711,916.7,500,500
