Year,PRETAX_MARGIN,EFF_TAX_RATE,RETURN_ON_ASSET,RETURN_COM_EQY,T12_NET_INT_MARGIN,RETURN_ON_CAP,OPER_INC_TO_TOT_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,AVG_COM_EQY_TO_AVG_ASSET,COM_EQY_TO_TOT_ASSET,AVG_EARN_ASSET_TO_AVG_INT_LIAB,INT_EXP_TO_INT_BEAR_LIAB,T12_NET_INT_MARGIN,TOT_EXP_TO_AVG_EARN_ASSET,INT_INC_TO_AVG_TOT_LOAN,TANGIBLE_EQUITY,REALIZED_EQUITY
2011,41.628,34.6555,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,94.2962,2966.15,2694.16,3.2495,96.3853,87.5472,#N/A N/A,3.1791,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5218,5059
2012,51.4927,37.1826,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,95.338,3323.7,3260.27,2.9208,97.0792,95.2264,3.0305,2.8684,99.3634,1.4229,1.8513,2.6315,3.3733,3829,4189
2013,51.399,37.4524,0.7512,24.6602,1.8513,0.7665,1.2314,94.9975,3205.11,3140.45,3.0251,96.9567,95.0008,2.9141,2.9639,100.5657,1.554,1.6547,2.671,3.2941,3294,4026
2014,51.2328,37.75,0.711,24.3974,1.6547,0.7248,1.1718,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,
