Year,PRETAX_MARGIN,EFF_TAX_RATE,RETURN_ON_ASSET,RETURN_COM_EQY,T12_NET_INT_MARGIN,RETURN_ON_CAP,OPER_INC_TO_TOT_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,AVG_COM_EQY_TO_AVG_ASSET,COM_EQY_TO_TOT_ASSET,BS_TIER1_CAP_RATIO,BS_TOT_CAP_TO_RISK_BASE_CAP,AVG_EARN_ASSET_TO_AVG_INT_LIAB,INT_EXP_TO_INT_BEAR_LIAB,T12_NET_INT_MARGIN,TOT_EXP_TO_AVG_EARN_ASSET,INT_INC_TO_AVG_TOT_LOAN,TANGIBLE_EQUITY,REALIZED_EQUITY
2011,34.5699,37.2093,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,52.0276,607.0493,607.0493,14.1433,85.8567,85.8567,#N/A N/A,8.5706,13.8,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3391,4580
2012,33.6355,37.2334,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,25.9998,257.7517,257.7517,27.9523,72.0477,72.0477,9.3668,10.0872,16,#N/A N/A,125.423,1.6921,19.2207,15.7442,20.6175,4711,5973
2013,28.4112,37.0146,3.5168,37.5451,19.2207,7.368,11.6979,36.2714,262.0729,262.0729,27.6187,72.3813,72.3813,12.1951,13.8402,14.9,16.2,116.6287,1.7817,18.7563,15.4773,20.5532,9010,10488
2014,28.6828,37.7141,3.1293,25.6601,18.7563,7.1178,11.4276,28.9345,193.145,193.145,34.1128,65.8872,65.8872,14.4405,14.9807,16.8,18.1,103.4115,1.7434,17.9624,14.9857,20.2897,10954,12645
2015,28.2819,37.2982,2.7702,19.1838,17.9624,5.913,9.4303,,,,,,,,,,,,,,,,,
